        FAIL [   0.430s] gix::gix remote::fetch::blocking_and_async_io::fetch_pack_without_local_destination
        FAIL [   0.158s] gix::gix remote::fetch::blocking_and_async_io::fetch_shallow_deepen_not_possible
        FAIL [   0.269s] gix::gix remote::fetch::blocking_and_async_io::fetch_shallow_deepen_zero_does_not_fail
        FAIL [   0.131s] gix::gix remote::fetch::blocking_and_async_io::fetch_with_alternates_adds_tips_from_alternates
        FAIL [   0.120s] gix::gix remote::fetch::blocking_and_async_io::fetch_with_multi_round_negotiation
        FAIL [   0.125s] gix::gix remote::ref_map::blocking_and_async_io::all
        FAIL [   0.127s] gix::gix remote::save::save_to::named_remotes_save_as_is
        FAIL [   0.148s] gix::gix repository::config::config_snapshot::apply_cli_overrides
        FAIL [   0.139s] gix::gix repository::config::config_snapshot::credential_helpers::any_url_calls_global
        FAIL [   0.136s] gix::gix repository::config::config_snapshot::credential_helpers::case_sensitive_host_matching
        FAIL [   0.130s] gix::gix repository::config::config_snapshot::credential_helpers::empty_core_askpass_is_ignored
        FAIL [   0.146s] gix::gix repository::config::config_snapshot::credential_helpers::empty_helper_clears_helper_list
        FAIL [   0.136s] gix::gix repository::config::config_snapshot::credential_helpers::host_globs_match_as_well
        FAIL [   0.145s] gix::gix repository::config::config_snapshot::credential_helpers::http_port_defaulting
        FAIL [   0.145s] gix::gix repository::config::config_snapshot::credential_helpers::http_urls_match_the_host_without_path_as_well
        FAIL [   0.160s] gix::gix repository::config::config_snapshot::credential_helpers::https_urls_match_the_host_without_path_as_well
        FAIL [   0.167s] gix::gix repository::config::config_snapshot::credential_helpers::invalid_urls_are_rejected_early
        FAIL [   0.162s] gix::gix repository::config::config_snapshot::credential_helpers::ssh_host_and_port_with_path_via_url_match
        FAIL [   0.161s] gix::gix repository::config::config_snapshot::credential_helpers::ssh_host_with_path_via_url_match
        FAIL [   0.206s] gix::gix repository::config::config_snapshot::credential_helpers::subdomain_globs_match_on_their_level
        FAIL [   0.167s] gix::gix repository::config::config_snapshot::credential_helpers::user_rules_only_match_urls_with_user
        FAIL [   0.199s] gix::gix repository::config::identity::author_from_different_config_sections
        FAIL [   0.156s] gix::gix repository::config::remote::remote_and_branch_names
        FAIL [   0.166s] gix::gix repository::config::remote::remote_default_name
        FAIL [   0.307s] gix::gix repository::config::ssh_options::with_command_and_variant
        FAIL [   0.225s] gix::gix repository::object::edit_tree::from_head_tree
        FAIL [   0.009s] gix::gix repository::open::non_bare_split_worktree
        FAIL [   0.149s] gix::gix repository::open::non_bare_split_worktree_invalid_worktree_path_boolean
        FAIL [   0.154s] gix::gix repository::open::non_bare_split_worktree_invalid_worktree_path_empty
        FAIL [   0.165s] gix::gix repository::open::worktree::with_worktree_configs
        FAIL [   0.160s] gix::gix repository::remote::find_default_remote::works_on_detached_heads
