        FAIL [   0.238s] gix::gix repository::open::non_bare_split_worktree_invalid_worktree_path_boolean
        FAIL [   0.233s] gix::gix repository::open::non_bare_split_worktree_invalid_worktree_path_empty
        FAIL [   0.231s] gix::gix repository::open::worktree::with_worktree_configs
        FAIL [   0.208s] gix::gix repository::remote::find_default_remote::works_on_detached_heads
        FAIL [   0.209s] gix::gix repository::remote::find_fetch_remote::symbol_name
        FAIL [   0.221s] gix::gix repository::remote::find_fetch_remote::urls
        FAIL [   0.219s] gix::gix repository::remote::find_remote::bad_url_rewriting_can_be_handled_much_like_git
        FAIL [   0.214s] gix::gix repository::remote::find_remote::instead_of_url_rewriting
        FAIL [   0.202s] gix::gix repository::remote::find_remote::many_fetchspecs
        FAIL [   0.201s] gix::gix repository::remote::find_remote::push_url_and_push_specs
        FAIL [   0.191s] gix::gix repository::remote::find_remote::tags_option
        FAIL [   0.209s] gix::gix repository::remote::find_remote::typical
        FAIL [   0.208s] gix::gix repository::remote::remote_at::url_and_push_url
        FAIL [   0.211s] gix::gix repository::remote::remote_at::url_rewrites_are_respected
        FAIL [   0.203s] gix::gix repository::remote::remote_at::url_rewrites_can_be_skipped
        FAIL [   0.221s] gix::gix repository::shallow::traverse::complex_graphs_can_be_iterated_despite_multiple_shallow_boundaries
        FAIL [   0.246s] gix::gix repository::worktree::from_bare_parent_repo
        FAIL [   0.249s] gix::gix repository::worktree::from_nonbare_parent_repo
        FAIL [   0.183s] gix::gix repository::worktree::with_core_worktree_config::bare_relative
        FAIL [   0.260s] gix::gix repository::worktree::with_core_worktree_config::non_existing_relative
        FAIL [   0.254s] gix::gix repository::worktree::with_core_worktree_config::relative
        FAIL [   0.257s] gix::gix repository::worktree::with_core_worktree_config::relative_file
error: test run failed
